quote,tags
إذا إتحد افراد القطيع ، نام الأسد جائعاً .,أمثال
لا تضع كل ما لديك من البيض في سلة واحدة .,أمثال
ليس هناك أكثر جرأة من الحصان الاعمى .,أمثال
دماغ الكسلان معمل الشيطان .,أمثال
عندما أذهب إلى الفراش أترك همومي في ملابسي .,أمثال
اضحك يضحك العالم بك و ابك تبك وحدك.,أمثال
نبدأ طريق النجاح حقاً حالما ننتصر على الـ (أنا) في داخل كل منا .,أمثال
لست أول من غره السراب.,أمثال
من أراد أن يضحك على الأحدب عليه أن يمشي منتصب الظهر .,أمثال
ليس هناك عدو تافه .,أمثال
الإخفاق يعلمك أكثر مما يعلمك النجاح .,أمثال
اكثر الناس كذبا اكثرهم حديثا عن نفسه .,أمثال
الكسلان تتعبه حتى الراحة .,أمثال
من الجيد أن تحب أشياء كثيرة ، ففيها تكمن القوة الحقيقية ، ومن يحب كثيرًا يؤدي كثيرًا ، ويستطيع أن ينجز الكثير ، وما يتم في الحب يتم بشكل جيد.,إلهام
يجب أن يكون قلب المرأة مخفيًا في الله لدرجة أن على الرجل أن يبحث عنه فقط ليجدها.,إلهام
لا يوجد شيء في العالم خاطئ تمامًا. حتى الساعة المتوقفة تكون مناسبة مرتين في اليوم .,إلهام
كن ثابتًا ومنظمًا جيدًا في حياتك حتى تكون شرسًا وأصليًا في عملك.,إلهام
الحب هو غياب الحكم.,إلهام
كل الرجال المفكرين ملحدين.,إلهام
ما تفعله يحدث فرقًا ، وعليك أن تقرر نوع الاختلاف الذي تريد إحداثه.,إلهام
بدون موسيقى الحياة ستكون غلطة.,إلهام
إمتاع قلب واحد بفعل واحد خير من ركوع ألف رأس في الصلاة.,إلهام
لا تقل أنه ليس لديك ما يكفي من الوقت. لديك بالضبط نفس عدد الساعات في اليوم التي أعطيت لهيلين كيلر ، وباستور ، ومايكل أنجلو ، والأم تيريزا ، وليوناردو دافنشي ، وتوماس جيفرسون ، وألبرت أينشتاين .,إلهام
النجاح ليس مدى ارتفاعك ، ولكن كيف تُحدث فرقًا إيجابيًا في العالم.,إلهام
الزهرة التي تتفتح في الشدائد هي أندر وأجملها على الإطلاق.,إلهام
عامل الجميع بأدب ولطف ، ليس لأنهم لطفاء ، ولكن لأنك كذلك.,إلهام
أي أحمق يمكن أن يكون سعيدًا. يتطلب الأمر رجلاً ذا قلب حقيقي لصنع الجمال من الأشياء التي تجعلنا نبكي .,إلهام
في بعض الأحيان ينطفئ ضوءنا ، ولكن ينفجر مرة أخرى في شعلة فورية من خلال لقاء مع إنسان آخر.,إلهام
نحن نقبل محبة نعتقد أننا نستحق.,إلهام
نحن جميعًا في الحضيض ، لكن البعض منا ينظر إلى النجوم.,إلهام
إذا كانت حياتي ستعني شيئًا ، يجب أن أعيشها بنفسي.,إلهام
ليس الوجه ، بل التعبيرات عليه. إنه ليس الصوت ، لكن ما تقوله. لا يتعلق الأمر بالطريقة التي تنظر بها إلى ذلك الجسد ، ولكن الشيء الذي تفعله به. أنت جميل.,إلهام
على الرغم من أنه لا يمكن لأحد العودة والبدء في بداية جديدة ... يمكن لأي شخص البدء من جديد وإنشاء نهاية جديدة.,إلهام
نحن لا نؤمن بأنفسنا حتى يكشف أحدهم أن شيئًا ما في أعماقنا له قيمته ، ويستحق الاستماع إليه ، ويستحق ثقتنا ، ومقدس بلمسته. بمجرد أن نؤمن بأنفسنا ، يمكننا المخاطرة بالفضول أو التعجب أو البهجة العفوية أو أي تجربة تكشف عن الروح البشرية .,إلهام
ما أحتاجه هو الهندباء في الربيع. الأصفر المشرق الذي يعني ولادة جديدة بدلا من الدمار. الوعد بأن الحياة يمكن أن تستمر ، مهما كانت خسائرنا سيئة. أن هذا يمكن أن يكون جيدا مرة أخرى.,إلهام
العقل هو مكانه الخاص ، ويمكنه في حد ذاته أن يصنع جنة من جهنم ، جحيم من الجنة ..,إلهام
أنت نفسك ، مثل أي شخص في الكون بأسره ، تستحق حبك وعاطفتك,إلهام
لم أكن مجنونًا حقًا أبدًا إلا في المناسبات التي تأثر فيها قلبي.,إلهام
قرأت ذات مرة أن المصريين القدماء لديهم خمسون كلمة للرمال وأن الأسكيمو لديهم مائة كلمة للثلج. أتمنى لو كان لدي ألف كلمة للحب ، لكن كل ما يتبادر إلى الذهن هو الطريقة التي تتحرك بها ضدي أثناء نومك ولا توجد كلمات لذلك .,إلهام
لا يمكن لأي قدر من الندم أن يغير الماضي ، ولا يمكن لأي قدر من القلق أن يغير المستقبل.,إلهام
تجاهل أولئك الذين يجعلونك خائفًا وحزينًا ، والتي تحط من شأنك مرة أخرى نحو المرض والموت.,إلهام
البساطة والصبر والرحمة ، هذه الثلاثة هي أعظم كنوزك. ببساطة في الأفعال والأفكار ، تعود إلى مصدر الوجود. صبورًا مع كل من الأصدقاء والأعداء ، فإنك تتفق مع الأمور. كائنات في العالم .,إلهام
لا تذهب إلى حيث قد يؤدي المسار ، بل اذهب بدلاً من ذلك حيث لا يوجد مسار واترك ممرًا.,إلهام
إنه نصف روحي كما يقول الشعراء.,إلهام
الحياة غير المختبرة لا تستحق العيش.,إلهام
إذا كانت مذهلة ، فلن تكون سهلة. إذا شيس سهلة، وقالت انها لن تكون مذهلة. إذا كانت تستحق ذلك ، فلن تستسلم. إذا استسلمت ، فأنت لست مستحقًا. ... الحقيقة هي أن الجميع سوف يؤذيك ؛ عليك فقط أن تجد الأشخاص الذين يستحقون المعاناة من أجلهم .,إلهام
عندما كنت في الخامسة من عمري ، أخبرتني والدتي دائمًا أن السعادة هي مفتاح الحياة. عندما ذهبت إلى المدرسة ، سألوني ماذا أريد أن أكون عندما أكبر. لقد كتبت سعيدة. قالوا لي إنني لم أفهم المهمة ، وقلت لهم إنهم لا يفهمون الحياة .,إلهام
إنه ليس مثاليًا. أنت لست كذلك ، ولن يكون كلاكما مثاليًا أبدًا. لكن إذا استطاع أن يجعلك تضحك مرة واحدة على الأقل ، يجعلك تفكر مرتين ، وإذا اعترف بأنه إنسان ويرتكب أخطاء ، تمسك به وأعطيه أقصى ما تستطيع. لن يقتبس من الشعر ، فهو لا يفكر فيك كل لحظة ، لكنه سيعطيك جزءًا منه يعرف أنه يمكنك كسره. لا تؤذيه ، ولا تغيره ، ولا تتوقع أكثر مما يستطيع. لا تحلل. ابتسم عندما يجعلك سعيدًا ، صرخ عندما يجعلك غاضبًا ، وافتقده عندما لا يكون هناك. الحب الصعب عندما يكون هناك حب. لأن الرجال المثاليين غير موجودين ، ولكن هناك دائمًا شخص واحد مثالي لك .,إلهام
هناك سنوات تطرح أسئلة وسنوات تجيب.,إلهام
لا يمكنك انتظار الإلهام. عليك أن تذهب بعد ذلك مع النادي.,إلهام
إذا عاملت الفرد كما هو ، فسيظل على ما هو عليه. ولكن إذا عاملته كما لو كان ما يجب أن يكون عليه ويمكن أن يكون ، فسيصبح ما يجب أن يكون عليه ويمكن أن يكون .,إلهام
أحيانا تستيقظ. احيانا السقوط يقتلك. وأحيانا، عندما تقع، كنت تطير.,إلهام
الحياة لا تتعلق بالعثور على نفسك. الحياة هي حول إنشاء نفسك.,إلهام
الأشجار البطيئة النمو تؤتي أفضل الثمار.,إلهام
مهمتك ليست البحث عن الحب ، ولكن مجرد البحث وإيجاد كل الحواجز داخل نفسك التي بنيتها ضدها.,إلهام
لا تدعوا نيرانكم تنطفئ ، شرارة شرارة لا يمكن تعويضها في مستنقعات ميؤوس منها للغير تمامًا ، والغير بعد ، والغير على الإطلاق. لا تدع البطل في روحك يهلك في إحباط وحيد من أجل الحياة التي تستحقها ولم تتمكن من الوصول إليها. العالم تريدها يمكن كسبها. إنه موجود .. إنه حقيقي .. إنه ممكن .. إنه ملكك.,إلهام
نحن سعداء بجمال الفراشة ، لكننا نادرًا ما نعترف بالتغييرات التي مرت بها لتحقيق هذا الجمال.,إلهام
هل تريد أن تعرف من أنت؟ لا تسأل. يمثل! الأفعال سوف ترسمك و تحددك.,إلهام
الماضي مكان مرجعي وليس مكان إقامة ؛ الماضي مكان للتعلم ، وليس مكانًا للعيش .,إلهام
أتمنى أن تعيش كل يوم في حياتك.,إلهام
ليس الحمل هو الذي يكسرك ، إنها الطريقة التي تحملها.,إلهام
الأعمال اللطيفة: فعل لطيف عشوائي ، مهما كان صغيراً ، يمكن أن يكون له تأثير هائل على حياة شخص آخر.,إلهام
حتى القوة يجب أن تنحني للحكمة في بعض الأحيان.,إلهام
أسوأ تعذيب فى العالم هو الشخص المُصر على الكلام بينما أنت مُثقل بالهموم ، ترغب فى أن تبقى صامتاً وأن تصغى لأفكارك.,النفس
تذكر في بعض الاوقات أن من فضل الله عليكم انك لا تنال ما تريد .,النفس
غزو الإنسان لنفسه هو اعظم غزو يحققه الإنسان في حياته .,النفس
العلم تَوَصَّلَ لعلاج معظم الشرور، ولكنه فشل في علاج أسوأ هذه الشرور؛ ألا وهو اللامبالاة تجاه النفس ...,النفس
لا شيء أصعب من تجنب خداع المرء لنفسه.,النفس
صحة الجسم في قلة الطعام ، و صحة النفس في قلة الآثام .,النفس
إذا مدح الرجل نفسه ذهب بهاؤه.,النفس
إذا دللت نفسك وأعطيتها كل ما تهـوى ، فسيصعب عليك فـطامها ، عـندها ستشعر بضعتِها و قلة شأنـها .. أما إذا دربتـها على مغالبة الصعاب فستـكون عظيمة ولن تخذلك أبدا .,النفس
من يحيا متوافقا مع نفسه يحيا متوافقا مع الكون.,النفس
اذا كانت النفوس كباراً ... تعبت في مرادها الأجسام .,النفس
من يقدر النقد هو الوحيد الذي يستفيد من المديح .,النفس
العقل البشري قوة من قوى النفس لا يستهان بها.,النفس
لا تبدأ بدراسة نفسك اثناء مرورك بتجربة ما .,النفس
الإنسان قضية .. كم من الأحداث البسيطة تغير مجرى حياة الإنسان و تحدد مستقبله ، فعقدة السبحة رغم أنها اصغر من أي حبة من حباتها ، لكن إذا ما فلتت تكرالسبحة بكاملها ، و أحيانا يخرج ماعز من اجل قشرة فاكهة فيجر القطيع خلفه .,النفس
افعل كل يوم أكثر قليلاً مما تعتقد أن بإمكانك فعله ، و حاول أن تصل إلى أبعد مما تستطيع الوصول إليه .. إذ لن تتطور أو تتقدم أبداً ما لم تحاول أن تؤدي عملاً أكبر من العمل الذي أتقنته بالفعل .,النفس
لا تحـب شيئا لدرجة ان تظـن أنك لن تعيش بـدونه .. فعندما تحصل عليه ستكتشف أنه لم يكن يستحق الجهد المبذول في سبيله .,النفس
ليس هناك من شيء سهل إلا ويصعُب عندما تقوم به مجبرا.,النفس
النفـس التي ليس لها ضابط تكون كسولة ، خمولة ، تشتهي المعاصي و السوء، لا تستقر على رأي ، إذا اشتهت شيئاً جـندت له كل طاقة ، و إذا عافت أمراً نصبت له شراكاً جسورة . فكن حاكماً حازماً في قيادتها تسلم .,النفس
يكون الحيوان خطيراً عندما يكون جائعاً أو في خطر، أما الإنسان فيكون خطيراً عندما يشبع ويقوى.,النفس
سوء الحظ هو عقده نفسية.,النفس
إن لم تستطع أن تحقق هدفك في علم من العلوم أو منصب طمحت إليه بسبب خور عزيمة أو ظرف عارض أو قضاء مقدر ، فلا تحاول أن تثني غيرك عما عجزت أنت عن تحقيقه ، فهو نسيــج مختلف ، و نفسية مختلفة ، و بظرف مختلف .,النفس
لا ينبغي للانسان أن يضع أمله إلا في نفسه .,النفس
اعلم أن الزمان لا يثبت على حـال كما قال عز وجل : (( و تلك الأيام نداولها بين الناس )) ، فتارة فـقر و تارة غنى ، و تارة عز و تارة ذل ، و تارة يفرح الموالي و تارة يشمت الأعادي . و العاقل من لازم أصلاً على كل حال : و هو تقوى الله ، والمنكر من عزته لذة حصلت مع عدم التقوى فإنها ستزول و تخليه خاسرا .,النفس
لا يمكن للمرء أن يجد مأوى أهدأ وأكثر سكونا من روحه.,النفس
ألا ما أشـبه الإنسـان في الحياة بالسفينة في أمواج هذا البحر .. إن ارتفعت السفينة أو انخفضت أو مادت ، فـليس ذلك منها وحدها ، بل ما حولها . و لـن تستطيع هذه السفينة أن تملك من قانـون ما حولها شيئاً ، و لكن قانونها هي الثبات ، و التـوازن، و الاهتداء إلى قصدها ونجاتها في قانونها .. فلا يعتبـن الإنسـان على الدنيا وأحكامها ، و لكن فليجتهد أن يحـكم نفسه .,النفس
ان النفس تطلب حياتها وبقائها قبل ان تطلب لذائذها وشهواتها.,النفس
بعد المسافة لا يهم ... الخطوة الأولى فقط هي الأكثر صعوبة.,النفس
عقد الماضي ليست إلا أعباء ثقيلة يشق عليك حملها فوق ظهرك ، فسارع الى اخراجها من حقيبة سفرك و التخلص منها .,النفس
إن مسالك النجاح و طرقه كثيرة ، فإذا سعيت لبعضها فلا تكتفي بما وصلت و أسع بأن تسلك البعض الآخر ، بل و اعمد أن تبحث بنفسك عن مسالك أخرى للنجاح ، و أن تنقب عن دروب جـديدة لم يسبقك إليها أحد ، حتى تكون ناجحاً و مبدعاً .,النفس
اختر قوة الروح على قوة الجسد.,النفس
على الإنسان أن يتقبل نفسه كما يراها هو ، و أن يحب نفسه على حالتها .,النفس
النفس إذا لم تـُمنع بعض المباحات طمعت في المحظورات .,النفس
لا ينفع الإنسان شيئاً إذا ربح العالم وخسر نفسه، وهو، في كلّ حال، لا يربح إلا حفنة من طين.,النفس
طور ذهنك من عادة التسليم ، فلا تأخذ الخبـر على عواهنه دون التفكير في احتمالات أخرى أو وجهات نظر مخالفة حتى لا يتولد فيك ميلاً إلى إغلاق الذهن .. إن الفكر لا ينتج إلا إذا عاش حراً ، و لكن ضمن ثوابت و متغيرات معينة .,النفس
في خضم الحركة والفوضى الدائمة، حاول دائما الحفاظ على السكون داخل نفسك .,النفس
خذ الوقت الكافي للتدبير، لكن عندما يحين وقت العمل توقف عن التفكير و نفذ .,النفس
إذا عودت نفسك على الرخاوة فستجدها رخوة أكثر مما تتصور ، وإذا عودتها على الصلابة فستجدها أقسى من الحجر ، وإذا عودتها على البلادة فهي أقرب ما تكـون للموت .. أما إذا عودتها على العمل الدؤوب فلن تخلد إلى الراحة إلا إذا دعوتها .,النفس
أكبر هدية يمكنك أن تقدمها لنفسك هو أن تعطيها جانبا من اهتمامك .,النفس
أعر نفسك للناس، لكن أعط نفسك لنفسك.,النفس
الحياة رحلة في مهرجان إلهي مقام للبشر في كل مكان وفي كل أوان ، فاستثمر قوتك و انطلق ، و تمتع بجماله ما دمت فيه ، و تعاطف مع الأرواح القريبة من روحك ، و لا تنس أن هذه الرحلة برمتها هي معبر لحياة خالدة ، فالتمس السعادة في الدنيا والسعادة الأبدية في الآخرة .,النفس
شيئان لا تؤمن المرأة عليهما: الرجل والطيب.,النفس
أربعة يجب ضبطها : اللسان ، والأعصاب ، والنفس ، والشعور .,النفس
رضى الله أو سخطه لا يستدل على العبد بالمنح و المنع في هذه الأرض ، فهو يعطي الصالح و الطالح ، و يمنع الصالح و الطالح .. إنه يعطي ليبتلي ، و يمنع ليبتلي ، و المعول عليه هو نتيجة الابتلاء .,النفس
لا تتم فائدة الانتقال من بلد إلى بلد إلا إذا انتقلت النفس من شعور إلى شعور ، فإذا سافر معك الهم فأنت مقيم لم تبرح .,النفس
الحل الوحيد للمشاكل النفسية هو: لا تكن عاطلا ولا تكن وحيداً.,النفس
الحزن المطلق مستحيل مثلما هو الفرح المطلق.,النفس
إن أردت الكلمة المؤثرة ، فاجعلها صادقة من القلب ، و عشها بكل جوارحك حتى تعبر عما بداخلك فتمتلئ حسناً و حرارة و صدقاً و إخلاصاً .. فكم من كلمة أو خطة أو قصيدة بلا روح ، فهي جثة هامدة لا تتحرك و لا تحرك ساكناً ، لأنها قدمت بلا معاناة و لا معايشة و لا صدق ، فخسرت قيمتها و تأثيرها و وقعها .,النفس
وحده الإنسان الذى اخترق أعماقه الخاصة ، له القدرة على الاكتـشاف ، و العثور على عمق الآخر .,النفس
حينما تكون روحك جميلة تستطيع أن ترى الكون بأسـره جميلاً ، فلو تلفـّت حولك و نظرت إلى نفسك لرأيت أسرار الفرح و مفاتيح السعادة بيدك ، ولكنك غافل عنها، فكثير منا لا يدرك أنه في سعادة إلا حينما يفقدها أو يفقد أسبابها ، و في حقيقة الأمر : نحن الذين بإرادتنا نستطيع أن نحيل حياتنا إلى أفراح أو إلى أحزان و آلام .,النفس
يا ابن آدم إنك تغدو وتروح في طلب الأرباح، فليكن همك نفسك فإنك لن تربح مثلها أبدا.,النفس
الرجال والشعوب يتصرفون بحكمة بعد أن يستنفذوا جميع الخيارات الأخرى .,تأملات
عندما تواجه الشمس ، دائما ما يسقط الظل خلفك .,تأملات
يتميز الجراح المشهور بعين صقر و قلب أسد و يد سيدة .,تأملات
أكثر الناس قلقاً في السجن هو السجان .,تأملات
الشخص الذي لديه فكرة خاطئة عن الحياة ستكون لديه دوماً فكرة خاطئة عن الموت.,تأملات
كلما ارتفع الإنسان تكاثفت حوله الغيوم و المحن .,تأملات
لا خير فيمن يرى نفسه في حال لا يراه الناس لها أهلا.,تأملات
التحليل ... هو عملية تفكير منطقي تركز البحث عن اجابة واحدة و محددة .,تأملات
لا يمكننا توجيه الريح ولكن يمكننا تعديل الشراع حسب اتجاهها .,تأملات
لم يكن الناس ليعرفوا العدل لو لم يكن هناك ظلم.,تأملات
الذوق ... سمة الإنسان المهذب .,تأملات
المثالية .. هي ان يلاحظ شخص أن رائحة الورد أفضل من الطماطم فيستنتج أن حساء الورد سيكون أفضل .,تأملات
يمكنني القول إن أعظم الأخطاء هو أن يكون المرء غير مدرك للأخطاء التي يرتكبها.,تأملات
لا تقلق من تدابير البشر فأقصى ما يستطيعون هو تنفيذ إرادة الله.,تأملات
إننا نبحث عن السعادة غالباً وهي قريبة منا ، كما نبحث في كثير من الأحيان عن النظارة و هي فوق عيوننا .,تأملات
أعظم خطأ أن ترى نفسك على صواب دائماً .,تأملات
لكي استطيع أن أكتب يجب ان أدخل في مرحلة تأمل تامة .,تأملات
الحياة تقاس بأنبل الأعمال لا بأحلى السنين.,تأملات
عندما لا يوجد البستاني ، لا توجد الحديقة .,تأملات
الناصح الحاقد ... تعرفه عندما يذكر نصائحه لك أمام الناس .,تأملات
التعطش الى السلطة ليس نابعاً من القوة ، بل من الضعف .,تأملات
ليعلم كل عظيم أن هناك من هو أعظم منه ، و كل قوي أن هناك من هو أقوى منه، و كل جبار أن هناك من هو أكثر منه جبروتاً، و كل عالم أن هناك من هو أعلم منه، و كل متنفذ أن الله هو المهيمن القيوم ، و ليعلم كل ذلك و ليتق الله في من هم دونه .,تأملات
من لا يجذف هو الوحيد الذي بإمكانه أرجحة القارب .,تأملات
التخطيط ... هو فن ارتكاب الأخطاء على الورق .,تأملات
ثق ، لكن تحقـق .,تأملات
خلق الله للإنسان عينين .. عين ترى الخير وعين ترى الشر ، و العقل بينهما ليحكم و يختار .,تأملات
السر في كونك شخصا مثيرا للملل ، هو أنك تقول كل شي .,تأملات
الموضة ... هي ما تتبناه عندما لا تعرف من أنت .,تأملات
اعلمي يا أوروبا أنك أخذت بيمينك الفلسفة المضلة السقيمة، وبيسارك المدنية المضرة السفيهة، تدّعين أن سعادة البشر بهما. تبت يداك وبئس الهداية هدايتك.,تأملات
الناقد شخص يعرف معالم الطريق ، لكنه لا يستطيع قيادة سيارة .,تأملات
ليس هناك أحقر من إحترام مبني علي الخوف .,تأملات
هناك من يسمع و لا ينصت ، ينظر و لا يرى ، يشعر و لا يحس .. ان العمى هو عمى القلب و ليس البصر .,تأملات
الحاكم الظالم ... أشبه بالراكب على ظهر نمر يقوده بالضرب .. لا يستطيع أن يترجل منه ابداً و الا افترسه .,تأملات
الغيرة ... عدسة تكبر الاشياء الصغيرة .,تأملات
القراءة .. هي حوار صامت .,تأملات
عجبت لمن يغسل وجهه عدة مرات في النهار، ولا يغسل قلبه مرة واحدة في السنة.,تأملات
لاحظ أن الشجرة الاصلب تنكسر بسهولة ، بينما ينجو الصفصاف بمرونته و انحناءه مع الريح .,تأملات
البعض يفتش عن اخطاء الاخرين كما لو كان يبحث عن كنز .,تأملات
كلمة الحق تقف دائما في الحلق لأنها كبيرة .,تأملات
الرضا ... كوب من الماء الصافي يمكن لأي شيء أن يفسده .,تأملات
البستان الجميل لا يخلو من الافاعي .,تأملات
الفراق .. هو الموت الصغير .,تأملات
كلما زاد ما تستطيع العيش بدونه زاد ما تعيش به.,تأملات
الاعتدال في التعصب فضيلة ، و الاعتدال في المبدأ رذيلة.,تأملات
الإعلان كذب مقنن.,تأملات
أن تتوقع أن يعاملك العالم برفق لأنك إنسان طيب ، أشبه بأن تتوقع ألا يلتهمك الأسد لأنك نباتي لا تأكل اللحوم.,تأملات
لو خرج عقلك من سلطان هواك عادت الدولة له.,تأملات
الإنسان الحقيقي ليس خروفًا، وليس كلب حراسة أو ذئبًا أو راعيًا. إنه ملك يحمل مملكته معه ويتقدم.,تأملات
الذين يعيشون على اعصابهم ، غالبا ما يعيشون على اعصاب الاخرين ايضا .,تأملات
ان اقصر الكلمات : نعم و لا ... هي التي تتطلب اكبر قدر من التفكير قبل النطق بها.,تأملات
لا أريد مستقبلا يفصلني عن الماضي .,تاريخ
الوقوف على الاطلال هو الخطوة التي تسبق الوقوف على الهاوية .,تاريخ
ا الماضي إلا حلم ، و ما المستقبل إلا رؤية ، و عيشك الحاضر بحب تام الله سبحانه و تعالى يجعل من الماضي حلماً من السعادة و من المستقبل رؤية من الامل .,تاريخ
إن التاريخ في ظاهره لا يزيد عن الإخبار، و لكن في باطنه نظر و تحقيق .,تاريخ
متى ستتوقف البشرية عن ارتكاب أخطاء سابقيها ؟ .,تاريخ
إغرس اليوم شجرة تنم في ظلها غدا .,تاريخ
إن تاريخ العالم ليس إلا سيرة الرجال العظماء .,تاريخ
علينا ان نكسر الارقام القياسية السابقة ، ذلك ما يعلمنا التاريخ اياه .. أن تتفوق انجازاتنا في نتائجها على انجازات من سبقونا .,تاريخ
ما التاريخ الإنساني في حقيقته إلا تاريخ أفكار.,تاريخ
الطريقة الأكثر فعالية لتدمير الناس هي إنكار وطمس فهمهم لتاريخهم.,تاريخ
وقائع التاريخ الكبرى عائمات جليد ، طرفها ظاهر فوق الماء ، و كتلتها الرئيسية تحت سطحه ، و من يريد استكشافها عليه أن يغوص .,تاريخ
ننظف الماضي ، و ننظم الحاضر .. ثم نبني المستقبل .,تاريخ
لا يعيش أي عظيم دون جدوى، فتاريخ العالم ليس إلا سردا لحيوات العظماء.,تاريخ
قافلة الماضي لن تصل بك إلى أي مكان.,تاريخ
إذا أطلقت نيران مسدسك على الماضي أطلق المستقبل نيران مدافعه عليك .,تاريخ
منذ فجر التاريخ و دوائر الغلبة تدور دون توقف ، تارة للخير و تارة للشر .,تاريخ
لو أن ما فعلته بالامس يبدو عظيما ، فهذا يعني انك لم تفعل شيئا اليوم .,تاريخ
نحن نحب الماضي لانه ذهب ، لكن لو عاد لكرهناه .,تاريخ
إن الفلسفة التاريخية تقوم على مبدأ هام .. و هو أن كل مجتمع يتكون من ثلاث مكونات : الافكار ، و الاشخاص ، و الاشياء .. وان المـجتمع يكون في اوج صحته وعافيته حين يدور الاشخاص و الاشياء في فلك الافكار الصائبة … و لكن المرض يصيب المجتمع حين تدور الافكار و الاشياء في فلك الاشخاص، و ينتهي المجتمع الى حالة الوفاة حين يدور الافكار و الاشخاص في فلك الاشياء .,تاريخ
الذكريات مفتاح المستقبل لا مفتاح الماضي .,تاريخ
لا تنحسر الحضارة أبدا، فقانون الحاجة دائما ما يدفعها إلى الأمام.,تاريخ
التاريخ منجم زاخر بالحكمة التي قد تجد فيها المفاتيح الذهبية لمشاكل حاضرنا .,تاريخ
ليس المستقبل الا الماضي في حالة تحضير و تهيئة .,تاريخ
غدا سأكون رائعا ، غدا سأفهم كل شئ ، غدا سأكون محط انظار العالم ... لكن المشكلة أن هذا الغد لا يأتي أبدا .,تاريخ
إن تجربة في الماضي اخفقت في التفاعل معها بايجابية ، لا تعني بالضرورة انك ستخفق معها لو تكررت من جديد في المستقبل ، ذلك انك اليوم ، بافكارك و مشاعرك و صفاتك و قابلياتك ، ليس أنت كما بالامس .. فلا يمكن ان يتكرر التفاعل بنفس السلبية .,تاريخ
الأسف ينظر للوراء ، و القلق ينظر حوله ، و الأيمان ينظر إلى المستقبل .,تاريخ
التاريخ قد لايعيد نفسه و لكنه يتشابه كثيرا .,تاريخ
من المألوف في تاريخ النهضات أن اليقظة العقلية تسبق دائما النشاط السياسي والاجتماعي.,تاريخ
إذا كنت لا تعرف التاريخ ، فأنت لا تعرف أي شيء. أنت ورقة لا تعرف أنها جزء من شجرة.,تاريخ
تذكر أن اليوم هو الغد الذي كنت قلقا عليه بالامس .,تاريخ
قبل أن نُقِيم المستقبل، علينا أن نلقي نظرة سريعة على الماضي لأنه أساس المستقبل.,تاريخ
بدا لي من دراسة التاريخ و من دراسة الإنسان العربي بالذات أن الأمة العربية تفقد إنسانيتها يوم تفقد الإسلام .,تاريخ
التاريخ سيكون لطيفًا معي لأنني أنوي كتابته.,تاريخ
فكر بالأمس واحلم بالمستقبل لكن عش الحاضر.,تاريخ
لما استعمل الرواة الكذب ، استعملنا لهم التاريخ .,تاريخ
كل ذهب وفضة على وجه الأرض لا يبلغ ثمن نخلة البصرة.,تاريخ
لو بدأنا معركة بين الماضي و الحاضر فسوف نجد أننا خسرنا المستقبل .,تاريخ
